"","Moran.dist.class","Moran.local","p.value","Rownumber","run","Comparison.type","Yard.diff","Neighbor.distance","Num.nursery","Mimicry","Constraint","Step","Run"
"1193",16.4876500849974,0.793376139923858,0,8,83,"equal-or-greater",0,9,1,TRUE,"by-block",77,80
"1194",18.5526700296637,0.758351784496445,0,9,83,"equal-or-greater",0,9,1,TRUE,"by-block",77,80
"1195",20.61768997433,0.720438221352458,0,10,83,"equal-or-greater",0,9,1,TRUE,"by-block",77,80
"1196",22.6827099189963,0.680565604027958,0,11,83,"equal-or-greater",0,9,1,TRUE,"by-block",77,80
"1197",24.7477298636626,0.639969726999349,0,12,83,"equal-or-greater",0,9,1,TRUE,"by-block",77,80
"1198",26.812749808329,0.59443126072734,0,13,83,"equal-or-greater",0,9,1,TRUE,"by-block",77,80
"1199",28.8777697529953,0.551692584285586,0,14,83,"equal-or-greater",0,9,1,TRUE,"by-block",77,80
"1200",30.9427896976616,0.504639602245809,0,15,83,"equal-or-greater",0,9,1,TRUE,"by-block",77,80
"1201",2.03250997233316,0.88219084779374,0,1,84,"equal-or-greater",0,9,1,TRUE,"by-block",68,81
"1202",4.09753041699947,0.870265481307912,0,2,84,"equal-or-greater",0,9,1,TRUE,"by-block",68,81
"1203",6.16255036166579,0.857149871715888,0,3,84,"equal-or-greater",0,9,1,TRUE,"by-block",68,81
"1204",8.22757030633211,0.837558224189038,0,4,84,"equal-or-greater",0,9,1,TRUE,"by-block",68,81
"1205",10.2925902509984,0.812337282083394,0,5,84,"equal-or-greater",0,9,1,TRUE,"by-block",68,81
"1206",12.3576101956647,0.785557381760289,0,6,84,"equal-or-greater",0,9,1,TRUE,"by-block",68,81
"1207",14.4226301403311,0.753921635550387,0,7,84,"equal-or-greater",0,9,1,TRUE,"by-block",68,81
"1208",16.4876500849974,0.717362048780902,0,8,84,"equal-or-greater",0,9,1,TRUE,"by-block",68,81
"1209",18.5526700296637,0.679524316315385,0,9,84,"equal-or-greater",0,9,1,TRUE,"by-block",68,81
"1210",20.61768997433,0.638859798680322,0,10,84,"equal-or-greater",0,9,1,TRUE,"by-block",68,81
"1211",22.6827099189963,0.596513684440079,0,11,84,"equal-or-greater",0,9,1,TRUE,"by-block",68,81
"1212",24.7477298636626,0.553815378199443,0,12,84,"equal-or-greater",0,9,1,TRUE,"by-block",68,81
"1213",26.812749808329,0.506222348815016,0,13,84,"equal-or-greater",0,9,1,TRUE,"by-block",68,81
"1214",28.8777697529953,0.463847628646531,0,14,84,"equal-or-greater",0,9,1,TRUE,"by-block",68,81
"1215",30.9427896976616,0.41732531833546,0,15,84,"equal-or-greater",0,9,1,TRUE,"by-block",68,81
"1216",2.03250997233316,0.928487646548711,0,1,85,"equal-or-greater",0,9,1,TRUE,"by-block",85,82
"1217",4.09753041699947,0.917702996443651,0,2,85,"equal-or-greater",0,9,1,TRUE,"by-block",85,82
"1218",6.16255036166579,0.906860068848565,0,3,85,"equal-or-greater",0,9,1,TRUE,"by-block",85,82
"1219",8.22757030633211,0.889793070986816,0,4,85,"equal-or-greater",0,9,1,TRUE,"by-block",85,82
"1220",10.2925902509984,0.866319045397883,0,5,85,"equal-or-greater",0,9,1,TRUE,"by-block",85,82
"1221",12.3576101956647,0.842611075795136,0,6,85,"equal-or-greater",0,9,1,TRUE,"by-block",85,82
"1222",14.4226301403311,0.813408542678039,0,7,85,"equal-or-greater",0,9,1,TRUE,"by-block",85,82
"1223",16.4876500849974,0.778545936524002,0,8,85,"equal-or-greater",0,9,1,TRUE,"by-block",85,82
"1224",18.5526700296637,0.742870179350557,0,9,85,"equal-or-greater",0,9,1,TRUE,"by-block",85,82
"1225",20.61768997433,0.704374018854436,0,10,85,"equal-or-greater",0,9,1,TRUE,"by-block",85,82
"1226",22.6827099189963,0.663911959952908,0,11,85,"equal-or-greater",0,9,1,TRUE,"by-block",85,82
"1227",24.7477298636626,0.622615430225936,0,12,85,"equal-or-greater",0,9,1,TRUE,"by-block",85,82
"1228",26.812749808329,0.577240615693651,0,13,85,"equal-or-greater",0,9,1,TRUE,"by-block",85,82
