"","Mantel.local","Class.Index","P.value","run","Comparison.type","Yard.diff","Neighbor.dist","Num.nursery","Mimicry","Constraints","step"
"18.14",0.000896812685687838,29,0.148514851485149,18,"equal",0,3,4,TRUE,"off",99
"19",0.0291635962901333,1,0.0099009900990099,19,"equal",0,3,4,TRUE,"off",99
"19.1",0.0318195401689109,3,0.0198019801980198,19,"equal",0,3,4,TRUE,"off",99
"19.2",0.0214163020817863,5,0.0297029702970297,19,"equal",0,3,4,TRUE,"off",99
"19.3",0.0111534077084023,7,0.0396039603960396,19,"equal",0,3,4,TRUE,"off",99
"19.4",0.00593405410274579,9,0.0495049504950495,19,"equal",0,3,4,TRUE,"off",99
"19.5",0.00365512183215359,11,0.0594059405940594,19,"equal",0,3,4,TRUE,"off",99
"19.6",0.00176894366185884,13,0.0693069306930693,19,"equal",0,3,4,TRUE,"off",99
"19.7",0.00142038556047433,15,0.0792079207920792,19,"equal",0,3,4,TRUE,"off",99
"19.8",0.00139768640186302,17,0.0891089108910891,19,"equal",0,3,4,TRUE,"off",99
"19.9",0.000804729036924587,19,0.099009900990099,19,"equal",0,3,4,TRUE,"off",99
"19.10",0.000542471017000941,21,0.108910891089109,19,"equal",0,3,4,TRUE,"off",99
"19.11",-0.000762686916514631,23,0.158415841584158,19,"equal",0,3,4,TRUE,"off",99
"19.12",-0.00108233636731929,25,0.128712871287129,19,"equal",0,3,4,TRUE,"off",99
"19.13",-0.00132760146207531,27,0.138613861386139,19,"equal",0,3,4,TRUE,"off",99
"19.14",-0.00153042237529406,29,0.148514851485149,19,"equal",0,3,4,TRUE,"off",99
"20",0.0308411103957328,1,0.0099009900990099,20,"equal",0,3,4,TRUE,"off",99
"20.1",0.0346542271288505,3,0.0198019801980198,20,"equal",0,3,4,TRUE,"off",99
"20.2",0.0245351258963351,5,0.0297029702970297,20,"equal",0,3,4,TRUE,"off",99
"20.3",0.0141107908573305,7,0.0396039603960396,20,"equal",0,3,4,TRUE,"off",99
"20.4",0.00790886447253627,9,0.0495049504950495,20,"equal",0,3,4,TRUE,"off",99
"20.5",0.00431018007136081,11,0.0594059405940594,20,"equal",0,3,4,TRUE,"off",99
"20.6",0.00199830942812457,13,0.0693069306930693,20,"equal",0,3,4,TRUE,"off",99
"20.7",0.00137066859027753,15,0.0792079207920792,20,"equal",0,3,4,TRUE,"off",99
"20.8",0.00115504634243244,17,0.0891089108910891,20,"equal",0,3,4,TRUE,"off",99
