"","Mantel.local","Class.Index","P.value","run","Comparison.type","Yard.diff","Neighbor.distance","Num.nursery","Mimicry","Constraints","Step"
"12.10",0.00649233778087592,21,0.108910891089109,12,"equal-or-greater","0",3,1,TRUE,"off",99
"12.11",0.00477398615111737,23,0.118811881188119,12,"equal-or-greater","0",3,1,TRUE,"off",99
"12.12",0.00457274540844478,25,0.128712871287129,12,"equal-or-greater","0",3,1,TRUE,"off",99
"12.13",0.00444609941567811,27,0.138613861386139,12,"equal-or-greater","0",3,1,TRUE,"off",99
"12.14",0.00432269124945967,29,0.148514851485149,12,"equal-or-greater","0",3,1,TRUE,"off",99
"13",0.0255053929822977,1,0.0099009900990099,13,"equal-or-greater","0",3,1,TRUE,"off",99
"13.1",0.0340843863537245,3,0.0198019801980198,13,"equal-or-greater","0",3,1,TRUE,"off",99
"13.2",0.033594454250361,5,0.0297029702970297,13,"equal-or-greater","0",3,1,TRUE,"off",99
"13.3",0.0283305096849082,7,0.0396039603960396,13,"equal-or-greater","0",3,1,TRUE,"off",99
"13.4",0.024711314531867,9,0.0495049504950495,13,"equal-or-greater","0",3,1,TRUE,"off",99
"13.5",0.0200520519385984,11,0.0594059405940594,13,"equal-or-greater","0",3,1,TRUE,"off",99
"13.6",0.015793064803507,13,0.0693069306930693,13,"equal-or-greater","0",3,1,TRUE,"off",99
"13.7",0.0112160031597209,15,0.0792079207920792,13,"equal-or-greater","0",3,1,TRUE,"off",99
"13.8",0.0083115990910441,17,0.0891089108910891,13,"equal-or-greater","0",3,1,TRUE,"off",99
"13.9",0.00645289115786281,19,0.099009900990099,13,"equal-or-greater","0",3,1,TRUE,"off",99
"13.10",0.00663397053373207,21,0.108910891089109,13,"equal-or-greater","0",3,1,TRUE,"off",99
"13.11",0.0047307667941047,23,0.118811881188119,13,"equal-or-greater","0",3,1,TRUE,"off",99
"13.12",0.00447544668290474,25,0.128712871287129,13,"equal-or-greater","0",3,1,TRUE,"off",99
"13.13",0.0040987662841533,27,0.138613861386139,13,"equal-or-greater","0",3,1,TRUE,"off",99
"13.14",0.00402646197570762,29,0.148514851485149,13,"equal-or-greater","0",3,1,TRUE,"off",99
"14",0.0291850815478275,1,0.0099009900990099,14,"equal-or-greater","0",3,1,TRUE,"off",99
"14.1",0.0388561948753586,3,0.0198019801980198,14,"equal-or-greater","0",3,1,TRUE,"off",99
"14.2",0.0379381918046521,5,0.0297029702970297,14,"equal-or-greater","0",3,1,TRUE,"off",99
"14.3",0.0315023283048276,7,0.0396039603960396,14,"equal-or-greater","0",3,1,TRUE,"off",99
"14.4",0.0265805234179903,9,0.0495049504950495,14,"equal-or-greater","0",3,1,TRUE,"off",99
"14.5",0.0213111977651296,11,0.0594059405940594,14,"equal-or-greater","0",3,1,TRUE,"off",99
"14.6",0.0160517275871107,13,0.0693069306930693,14,"equal-or-greater","0",3,1,TRUE,"off",99
"14.7",0.0110986754125946,15,0.0792079207920792,14,"equal-or-greater","0",3,1,TRUE,"off",99
"14.8",0.00793824973865727,17,0.0891089108910891,14,"equal-or-greater","0",3,1,TRUE,"off",99
"14.9",0.00546897784045891,19,0.099009900990099,14,"equal-or-greater","0",3,1,TRUE,"off",99
"14.10",0.00528945850873446,21,0.108910891089109,14,"equal-or-greater","0",3,1,TRUE,"off",99
"14.11",0.00228730010425575,23,0.118811881188119,14,"equal-or-greater","0",3,1,TRUE,"off",99
"14.12",0.000983929888545183,25,0.128712871287129,14,"equal-or-greater","0",3,1,TRUE,"off",99
"14.13",3.76702100912792e-05,27,0.445544554455446,14,"equal-or-greater","0",3,1,TRUE,"off",99
"14.14",-0.000966749623752179,29,0.148514851485149,14,"equal-or-greater","0",3,1,TRUE,"off",99
"15",0.0256321975019975,1,0.0099009900990099,15,"equal-or-greater","0",3,1,TRUE,"off",99
"15.1",0.0341062606212788,3,0.0198019801980198,15,"equal-or-greater","0",3,1,TRUE,"off",99
"15.2",0.0334810314004613,5,0.0297029702970297,15,"equal-or-greater","0",3,1,TRUE,"off",99
"15.3",0.028418634784978,7,0.0396039603960396,15,"equal-or-greater","0",3,1,TRUE,"off",99
"15.4",0.0243762781098032,9,0.0495049504950495,15,"equal-or-greater","0",3,1,TRUE,"off",99
"15.5",0.0195705872383295,11,0.0594059405940594,15,"equal-or-greater","0",3,1,TRUE,"off",99
"15.6",0.0150571230765652,13,0.0693069306930693,15,"equal-or-greater","0",3,1,TRUE,"off",99
"15.7",0.0105818766542889,15,0.0792079207920792,15,"equal-or-greater","0",3,1,TRUE,"off",99
"15.8",0.00751154070549972,17,0.0891089108910891,15,"equal-or-greater","0",3,1,TRUE,"off",99
"15.9",0.00520855830900215,19,0.099009900990099,15,"equal-or-greater","0",3,1,TRUE,"off",99
"15.10",0.00475525728410854,21,0.108910891089109,15,"equal-or-greater","0",3,1,TRUE,"off",99
"15.11",0.00216379772838903,23,0.118811881188119,15,"equal-or-greater","0",3,1,TRUE,"off",99
"15.12",0.00123325917801578,25,0.128712871287129,15,"equal-or-greater","0",3,1,TRUE,"off",99
"15.13",0.00052884875001104,27,0.247524752475248,15,"equal-or-greater","0",3,1,TRUE,"off",99
"15.14",-2.24675314008308e-05,29,0.514851485148515,15,"equal-or-greater","0",3,1,TRUE,"off",99
"16",0.0264233804985414,1,0.0099009900990099,16,"equal-or-greater","0",3,1,TRUE,"off",99
"16.1",0.0354129249322668,3,0.0198019801980198,16,"equal-or-greater","0",3,1,TRUE,"off",99
"16.2",0.03484248131559,5,0.0297029702970297,16,"equal-or-greater","0",3,1,TRUE,"off",99
"16.3",0.0291634646916438,7,0.0396039603960396,16,"equal-or-greater","0",3,1,TRUE,"off",99
"16.4",0.024710687449651,9,0.0495049504950495,16,"equal-or-greater","0",3,1,TRUE,"off",99
"16.5",0.0191727771831159,11,0.0594059405940594,16,"equal-or-greater","0",3,1,TRUE,"off",99
"16.6",0.0143413351175587,13,0.0693069306930693,16,"equal-or-greater","0",3,1,TRUE,"off",99
"16.7",0.00929502009898139,15,0.0792079207920792,16,"equal-or-greater","0",3,1,TRUE,"off",99
"16.8",0.00598884706594198,17,0.0891089108910891,16,"equal-or-greater","0",3,1,TRUE,"off",99
"16.9",0.00374660778769905,19,0.099009900990099,16,"equal-or-greater","0",3,1,TRUE,"off",99
"16.10",0.00357224019400895,21,0.108910891089109,16,"equal-or-greater","0",3,1,TRUE,"off",99
"16.11",0.00168498578803106,23,0.118811881188119,16,"equal-or-greater","0",3,1,TRUE,"off",99
"16.12",0.00112854466963068,25,0.128712871287129,16,"equal-or-greater","0",3,1,TRUE,"off",99
"16.13",0.000900254638191644,27,0.138613861386139,16,"equal-or-greater","0",3,1,TRUE,"off",99
"16.14",0.00088159728721365,29,0.198019801980198,16,"equal-or-greater","0",3,1,TRUE,"off",99
"17",0.0268031001902309,1,0.0099009900990099,17,"equal-or-greater","0",3,1,TRUE,"off",99
"17.1",0.0352851028665457,3,0.0198019801980198,17,"equal-or-greater","0",3,1,TRUE,"off",99
"17.2",0.0338770672295208,5,0.0297029702970297,17,"equal-or-greater","0",3,1,TRUE,"off",99
"17.3",0.0278458193919338,7,0.0396039603960396,17,"equal-or-greater","0",3,1,TRUE,"off",99
"17.4",0.0237286022864588,9,0.0495049504950495,17,"equal-or-greater","0",3,1,TRUE,"off",99
"17.5",0.0190315198599699,11,0.0594059405940594,17,"equal-or-greater","0",3,1,TRUE,"off",99
"17.6",0.015214511351063,13,0.0693069306930693,17,"equal-or-greater","0",3,1,TRUE,"off",99
"17.7",0.0113608405815053,15,0.0792079207920792,17,"equal-or-greater","0",3,1,TRUE,"off",99
"17.8",0.00901129525134537,17,0.0891089108910891,17,"equal-or-greater","0",3,1,TRUE,"off",99
"17.9",0.00713078514182981,19,0.099009900990099,17,"equal-or-greater","0",3,1,TRUE,"off",99
"17.10",0.00699114390431868,21,0.108910891089109,17,"equal-or-greater","0",3,1,TRUE,"off",99
"17.11",0.00479113445477282,23,0.118811881188119,17,"equal-or-greater","0",3,1,TRUE,"off",99
"17.12",0.00390629476915034,25,0.128712871287129,17,"equal-or-greater","0",3,1,TRUE,"off",99
"17.13",0.00291508211883072,27,0.138613861386139,17,"equal-or-greater","0",3,1,TRUE,"off",99
"17.14",0.00213250541434779,29,0.148514851485149,17,"equal-or-greater","0",3,1,TRUE,"off",99
"18",0.028252663767867,1,0.0099009900990099,18,"equal-or-greater","0",3,1,TRUE,"off",99
"18.1",0.0377815285190703,3,0.0198019801980198,18,"equal-or-greater","0",3,1,TRUE,"off",99
"18.2",0.0374078885052193,5,0.0297029702970297,18,"equal-or-greater","0",3,1,TRUE,"off",99
"18.3",0.0314593445840818,7,0.0396039603960396,18,"equal-or-greater","0",3,1,TRUE,"off",99
"18.4",0.0270341962138457,9,0.0495049504950495,18,"equal-or-greater","0",3,1,TRUE,"off",99
"18.5",0.0215586163101483,11,0.0594059405940594,18,"equal-or-greater","0",3,1,TRUE,"off",99
"18.6",0.0172160673618304,13,0.0693069306930693,18,"equal-or-greater","0",3,1,TRUE,"off",99
"18.7",0.0126362258494436,15,0.0792079207920792,18,"equal-or-greater","0",3,1,TRUE,"off",99
"18.8",0.00944200767860966,17,0.0891089108910891,18,"equal-or-greater","0",3,1,TRUE,"off",99
"18.9",0.00681448848918458,19,0.099009900990099,18,"equal-or-greater","0",3,1,TRUE,"off",99
