"","Mantel.local","Class.Index","P.value","run","Num.nursery","Mimicry","Constraints","step"
"17.4",0.021152024270745,9,0.0495049504950495,17,1,FALSE,"random",0
"17.5",0.0184173131940609,11,0.0594059405940594,17,1,FALSE,"random",0
"17.6",0.0175378256029913,13,0.0693069306930693,17,1,FALSE,"random",0
"17.7",0.0166028294802819,15,0.0792079207920792,17,1,FALSE,"random",0
"17.8",0.0165147621358187,17,0.0891089108910891,17,1,FALSE,"random",0
"17.9",0.0158918361448894,19,0.099009900990099,17,1,FALSE,"random",0
"17.10",0.0114879506565281,21,0.108910891089109,17,1,FALSE,"random",0
"17.11",0.00933890418496559,23,0.118811881188119,17,1,FALSE,"random",0
"17.12",0.00758681771073214,25,0.128712871287129,17,1,FALSE,"random",0
"17.13",0.00646516743948617,27,0.138613861386139,17,1,FALSE,"random",0
"17.14",0.00510529110136573,29,0.148514851485149,17,1,FALSE,"random",0
"18",0.0196455675378861,1,0.0099009900990099,18,1,FALSE,"random",0
"18.1",0.0270406919539274,3,0.0198019801980198,18,1,FALSE,"random",0
"18.2",0.0285318122020461,5,0.0297029702970297,18,1,FALSE,"random",0
"18.3",0.0249385247443845,7,0.0396039603960396,18,1,FALSE,"random",0
"18.4",0.0209002483607,9,0.0495049504950495,18,1,FALSE,"random",0
"18.5",0.0180656454105729,11,0.0594059405940594,18,1,FALSE,"random",0
"18.6",0.0172291539197761,13,0.0693069306930693,18,1,FALSE,"random",0
"18.7",0.0162437808337531,15,0.0792079207920792,18,1,FALSE,"random",0
"18.8",0.0163656856793999,17,0.0891089108910891,18,1,FALSE,"random",0
"18.9",0.0156992546232503,19,0.099009900990099,18,1,FALSE,"random",0
"18.10",0.0114579158517511,21,0.108910891089109,18,1,FALSE,"random",0
"18.11",0.00947370087979635,23,0.118811881188119,18,1,FALSE,"random",0
"18.12",0.00773248179469571,25,0.128712871287129,18,1,FALSE,"random",0
"18.13",0.00670308456114551,27,0.138613861386139,18,1,FALSE,"random",0
"18.14",0.00491191990331917,29,0.148514851485149,18,1,FALSE,"random",0
"19",0.0197823182179982,1,0.0099009900990099,19,1,FALSE,"random",0
"19.1",0.0269113510952371,3,0.0198019801980198,19,1,FALSE,"random",0
"19.2",0.0282860241498914,5,0.0297029702970297,19,1,FALSE,"random",0
"19.3",0.0245639416114017,7,0.0396039603960396,19,1,FALSE,"random",0
"19.4",0.0207407640266507,9,0.0495049504950495,19,1,FALSE,"random",0
"19.5",0.0186162073445393,11,0.0594059405940594,19,1,FALSE,"random",0
"19.6",0.017908863115984,13,0.0693069306930693,19,1,FALSE,"random",0
"19.7",0.0175624874092629,15,0.0792079207920792,19,1,FALSE,"random",0
"19.8",0.0174555744279101,17,0.0891089108910891,19,1,FALSE,"random",0
"19.9",0.0168191245278986,19,0.099009900990099,19,1,FALSE,"random",0
"19.10",0.0117491733854716,21,0.108910891089109,19,1,FALSE,"random",0
"19.11",0.00964497178015048,23,0.118811881188119,19,1,FALSE,"random",0
"19.12",0.00773166409285614,25,0.128712871287129,19,1,FALSE,"random",0
"19.13",0.00632142896927731,27,0.138613861386139,19,1,FALSE,"random",0
"19.14",0.00484517145326584,29,0.148514851485149,19,1,FALSE,"random",0
"20",0.0196970307097606,1,0.0099009900990099,20,1,FALSE,"random",0
"20.1",0.0270508583298491,3,0.0198019801980198,20,1,FALSE,"random",0
"20.2",0.0283307733276114,5,0.0297029702970297,20,1,FALSE,"random",0
"20.3",0.0249425925018116,7,0.0396039603960396,20,1,FALSE,"random",0
"20.4",0.020947755013298,9,0.0495049504950495,20,1,FALSE,"random",0
"20.5",0.0184328925815735,11,0.0594059405940594,20,1,FALSE,"random",0
"20.6",0.0177306108414988,13,0.0693069306930693,20,1,FALSE,"random",0
"20.7",0.016937461013312,15,0.0792079207920792,20,1,FALSE,"random",0
"20.8",0.0169400877646518,17,0.0891089108910891,20,1,FALSE,"random",0
"20.9",0.0166090572417782,19,0.099009900990099,20,1,FALSE,"random",0
"20.10",0.011983952199156,21,0.108910891089109,20,1,FALSE,"random",0
"20.11",0.0100099439128246,23,0.118811881188119,20,1,FALSE,"random",0
"20.12",0.00815909778906437,25,0.128712871287129,20,1,FALSE,"random",0
"20.13",0.00664119041121164,27,0.138613861386139,20,1,FALSE,"random",0
"20.14",0.00513626195721643,29,0.148514851485149,20,1,FALSE,"random",0
"21",0.0184873967601899,1,0.0099009900990099,21,1,FALSE,"by-block",0
"21.1",0.0255290410898207,3,0.0198019801980198,21,1,FALSE,"by-block",0
"21.2",0.0264118562022267,5,0.0297029702970297,21,1,FALSE,"by-block",0
"21.3",0.0218461943967735,7,0.0396039603960396,21,1,FALSE,"by-block",0
"21.4",0.0160376971921081,9,0.0495049504950495,21,1,FALSE,"by-block",0
"21.5",0.0141530225924896,11,0.0594059405940594,21,1,FALSE,"by-block",0
"21.6",0.0128820885683417,13,0.0693069306930693,21,1,FALSE,"by-block",0
"21.7",0.011984683530359,15,0.0792079207920792,21,1,FALSE,"by-block",0
"21.8",0.0119948008826675,17,0.0891089108910891,21,1,FALSE,"by-block",0
"21.9",0.0106129749516662,19,0.099009900990099,21,1,FALSE,"by-block",0
"21.10",0.00805359508926257,21,0.108910891089109,21,1,FALSE,"by-block",0
"21.11",0.00693864049180653,23,0.118811881188119,21,1,FALSE,"by-block",0
"21.12",0.00559171488987941,25,0.128712871287129,21,1,FALSE,"by-block",0
"21.13",0.00466597087123168,27,0.138613861386139,21,1,FALSE,"by-block",0
"21.14",0.00349063448874252,29,0.148514851485149,21,1,FALSE,"by-block",0
"22",0.0177315908331411,1,0.0099009900990099,22,1,FALSE,"by-block",0
"22.1",0.0243719158259343,3,0.0198019801980198,22,1,FALSE,"by-block",0
"22.2",0.0248199685467287,5,0.0297029702970297,22,1,FALSE,"by-block",0
"22.3",0.0200036996083526,7,0.0396039603960396,22,1,FALSE,"by-block",0
"22.4",0.0142385155062087,9,0.0495049504950495,22,1,FALSE,"by-block",0
"22.5",0.013352078769089,11,0.0594059405940594,22,1,FALSE,"by-block",0
"22.6",0.0122799215695114,13,0.0693069306930693,22,1,FALSE,"by-block",0
"22.7",0.0117038500337009,15,0.0792079207920792,22,1,FALSE,"by-block",0
"22.8",0.0117466324709156,17,0.0891089108910891,22,1,FALSE,"by-block",0
"22.9",0.0100638240206117,19,0.099009900990099,22,1,FALSE,"by-block",0
"22.10",0.00776552698402515,21,0.108910891089109,22,1,FALSE,"by-block",0
"22.11",0.00674492457690009,23,0.118811881188119,22,1,FALSE,"by-block",0
"22.12",0.00540210519112308,25,0.128712871287129,22,1,FALSE,"by-block",0
"22.13",0.00487648775437694,27,0.138613861386139,22,1,FALSE,"by-block",0
"22.14",0.00370155329453453,29,0.148514851485149,22,1,FALSE,"by-block",0
"23",0.0176954644425175,1,0.0099009900990099,23,1,FALSE,"by-block",0
"23.1",0.024512944209346,3,0.0198019801980198,23,1,FALSE,"by-block",0
"23.2",0.0249909008444148,5,0.0297029702970297,23,1,FALSE,"by-block",0
"23.3",0.0204072330047685,7,0.0396039603960396,23,1,FALSE,"by-block",0
"23.4",0.014644455149027,9,0.0495049504950495,23,1,FALSE,"by-block",0
"23.5",0.013552264161403,11,0.0594059405940594,23,1,FALSE,"by-block",0
"23.6",0.0125503426713833,13,0.0693069306930693,23,1,FALSE,"by-block",0
"23.7",0.0118903005115741,15,0.0792079207920792,23,1,FALSE,"by-block",0
"23.8",0.012137346484864,17,0.0891089108910891,23,1,FALSE,"by-block",0
"23.9",0.0102906759237327,19,0.099009900990099,23,1,FALSE,"by-block",0
"23.10",0.00784114738898997,21,0.108910891089109,23,1,FALSE,"by-block",0
"23.11",0.00708715262684423,23,0.118811881188119,23,1,FALSE,"by-block",0
"23.12",0.0056397979702924,25,0.128712871287129,23,1,FALSE,"by-block",0
"23.13",0.00497191503721968,27,0.138613861386139,23,1,FALSE,"by-block",0
"23.14",0.00377178520372912,29,0.148514851485149,23,1,FALSE,"by-block",0
"24",0.01836752215759,1,0.0099009900990099,24,1,FALSE,"by-block",0
"24.1",0.0255595493988126,3,0.0198019801980198,24,1,FALSE,"by-block",0
"24.2",0.0263730719665943,5,0.0297029702970297,24,1,FALSE,"by-block",0
"24.3",0.022316343654464,7,0.0396039603960396,24,1,FALSE,"by-block",0
"24.4",0.0162923729881033,9,0.0495049504950495,24,1,FALSE,"by-block",0
"24.5",0.0143854970250719,11,0.0594059405940594,24,1,FALSE,"by-block",0
"24.6",0.0132820052705359,13,0.0693069306930693,24,1,FALSE,"by-block",0
"24.7",0.0122562351841948,15,0.0792079207920792,24,1,FALSE,"by-block",0
"24.8",0.0120789871741718,17,0.0891089108910891,24,1,FALSE,"by-block",0
"24.9",0.0110404700517182,19,0.099009900990099,24,1,FALSE,"by-block",0
"24.10",0.0080980467727243,21,0.108910891089109,24,1,FALSE,"by-block",0
