"","Mantel.local","Class.Index","P.value","run","Happy.type","Yard.diff","Neighbor.distance","Num.nursery","Mimicry","Constraint","Step"
"13.11",0.000542246133629905,23,0.633663366336634,13,"equal-or-greater",0,3,1,TRUE,"random",22
"13.12",0.000440538448563012,25,0.792079207920792,13,"equal-or-greater",0,3,1,TRUE,"random",22
"13.13",0.000191700995181548,27,0.95049504950495,13,"equal-or-greater",0,3,1,TRUE,"random",22
"13.14",0.000264637625337263,29,1,13,"equal-or-greater",0,3,1,TRUE,"random",22
"14",0.0112211860675644,1,0.0099009900990099,14,"equal-or-greater",0,3,1,TRUE,"random",20
"14.1",0.0110624239528838,3,0.0198019801980198,14,"equal-or-greater",0,3,1,TRUE,"random",20
"14.2",0.00564952957182822,5,0.0297029702970297,14,"equal-or-greater",0,3,1,TRUE,"random",20
"14.3",0.00198260984213024,7,0.0396039603960396,14,"equal-or-greater",0,3,1,TRUE,"random",20
"14.4",0.000529007102282293,9,0.0495049504950495,14,"equal-or-greater",0,3,1,TRUE,"random",20
"14.5",0.000225622620629412,11,0.247524752475248,14,"equal-or-greater",0,3,1,TRUE,"random",20
"14.6",-0.000503282250474538,13,0.0891089108910891,14,"equal-or-greater",0,3,1,TRUE,"random",20
"14.7",-0.000589371001629757,15,0.158415841584158,14,"equal-or-greater",0,3,1,TRUE,"random",20
"14.8",-0.000661124536131837,17,0.207920792079208,14,"equal-or-greater",0,3,1,TRUE,"random",20
"14.9",-0.000256152581690464,19,0.495049504950495,14,"equal-or-greater",0,3,1,TRUE,"random",20
"14.10",0.000143837013538166,21,0.742574257425743,14,"equal-or-greater",0,3,1,TRUE,"random",20
"14.11",-0.00026108241389578,23,0.99009900990099,14,"equal-or-greater",0,3,1,TRUE,"random",20
"14.12",6.05842289814565e-06,25,1,14,"equal-or-greater",0,3,1,TRUE,"random",20
"14.13",-8.23620532503093e-05,27,1,14,"equal-or-greater",0,3,1,TRUE,"random",20
"14.14",0.000140495254006962,29,1,14,"equal-or-greater",0,3,1,TRUE,"random",20
